"Story","Title","Result","Date","Stability","Duration (s)"
"Deduction assignment test","Add direct deposit with amount","ERROR","2017-06-16T09:07:54.912+05:00","0.0","109.0"
"Deduction assignment test","Add direct deposit with percentage","ERROR","2017-06-16T08:58:46.578+05:00","0.0","99.93"
"Employee jobs test","Delete employee salary job","ERROR","2017-06-16T08:55:03.351+05:00","0.0","138.91"
"Employee jobs test","Verify add employee salary job","ERROR","2017-06-16T08:52:20.856+05:00","0.0","69.84"
"Manage payroll test","Verify add job to register","ERROR","2017-06-16T09:16:40.636+05:00","0.0","140.05"
"Manage employee test","Verify add new employee","ERROR","2017-06-16T08:58:01.255+05:00","0.0","45.29"
"Manage deduction test","Verify add percentage calculation deduction","ERROR","2017-06-16T09:15:10.334+05:00","0.0","89.99"
"Manage deduction test","Verify disable fixed amount deduction","ERROR","2017-06-16T09:12:49.989+05:00","0.0","139.95"
"Employee jobs test","Verify edit employee salary job","ERROR","2017-06-16T08:49:59.631+05:00","0.0","140.79"
