"Story","Title","Result","Date","Stability","Duration (s)"
"Deduction assignment test","Add direct deposit with amount","ERROR","2017-06-16T09:07:54.912+05:00","0.0","109.0"
"Deduction assignment test","Add direct deposit with percentage","ERROR","2017-06-16T08:58:46.578+05:00","0.0","99.93"
"Deduction assignment test","Add non variable deduction for percentage","SUCCESS","2017-06-16T09:04:39.892+05:00","0.0","91.94"
"Employee jobs test","Delete employee salary job","ERROR","2017-06-16T08:55:03.351+05:00","0.0","138.91"
"Deduction assignment test","Delete non variable deduction for percentage","SUCCESS","2017-06-16T09:06:12.105+05:00","0.0","102.47"
"Employee jobs test","Verify add employee hourly job","SUCCESS","2017-06-16T08:53:31.052+05:00","0.0","92.07"
"Employee jobs test","Verify edit employee salary job","ERROR","2017-06-16T08:49:59.631+05:00","0.0","140.79"
